434,"skicross",1
435,"nyhetsflodet",1
436,"mma",1
437,"leif-gw-persson",1
438,"lars-lerin",1
439,"konstakning",1
440,"kampsport",1
441,"handboll",1
442,"gymnastik",1
443,"dagny-carlsson",1
444,"40-tal",1
